id,achievementCount,attemptCount,communityCreation,creationTime,description,detailsPageUrl,doneAchievementCount,globalTotal,lastActivity,level,mode,position,solvedCount,testSessionHandle,title,total,type,validatorScore,xpPoints,feedbackAvg,feedbackCount
1,3,55340,False,2014-07-16 13:25:18.000000000,"Le virus de la résistance se propage à travers le réseau Skynet. Mais Skynet se défend ! Empêchez Skynet de détruire le virus en coupant les bons liens du réseau...<br>
<br>
<u>Algo</u> : recherche dans un graphe.<br>
<br>
<i>Ce défi facile est le premier d'une série de deux exercices proposés lors du challenge «&nbsp;Skynet - Le Final&nbsp;». Une fois résolu allez vous confronter au deuxième défi «&nbsp;Skynet&nbsp;contre-attaque&nbsp;»sur le même thème mais avec une difficulté accrue !</i>",/training/medium/skynet-revolution-episode-1,3,,2019-07-26 15:34:22.688000000,medium,,,31474,37819577b3990cd63492da5e8688b35cfa3b7f5,Skynet Revolution - Episode 1,,SOLO,100,150.0,4.731651376146789,3052
4,2,372399,False,2014-07-23 08:13:21.000000000,"Le marteau de Thor, <i>Mjöllnir</i> a perdu tout pouvoir... Saurez-vous guider Thor vers l'éclair de puissance afin de redonner sa force au marteau&nbsp;?<br>
<br>
<u>Algo</u> : vérification de conditions (if...).<br>
<br>
<i>Ce défi facile est le premier d'une série de deux exercices proposés lors du challenge «&nbsp;Ragnarök&nbsp;». Une fois la marteau réactivé vous pourrez tenter d'affronter les géants dans le deuxième défi, plus difficile : «&nbsp;Thor contre les géants&nbsp;» !</i>",/training/easy/power-of-thor-episode-1,2,,2019-07-27 20:47:17.038000128,easy,,,234545,37542667842fae110bd7bc244b4eebc7927c25c,Power of Thor - Episode 1,,SOLO,100,50.0,4.438970014491138,17942
5,2,192017,False,2014-07-23 08:14:24.000000000,Il fait froid ! Saurez-vous trouver la température la plus proche de zéro dans un relevé de températures ?,/training/easy/temperatures,2,,2017-07-15 08:56:55.223000064,easy,,,137473,3760408937c17934059ee020ae0f137f92a4ba9,Températures,,CODE,100,50.0,4.236030089038993,13028
6,2,110411,False,2014-07-23 08:16:54.000000000,"Vous-vous sentez un âme d'artiste ? Mais vous êtes informaticien :( Alors pourquoi ne pas essayer l'...
<pre>
   __    ___   ___  ____  ____      __    ____  ____ 
  /__\  / __) / __)(_  _)(_  _)    /__\  (  _ \(_  _)
 /(__)\ \__ \( (__  _)(_  _)(_    /(__)\  )   /  )(  
(__)(__)(___/ \___)(____)(____)  (__)(__)(_)\_) (__) 
</pre><br>
Dans ce défi, transformez des chaînes de caractères en ASCII ART.<br>
<br>
<u>Algo</u> : stockage et parcours de tableau.",/training/easy/ascii-art,2,,2017-09-17 09:41:33.336999936,easy,,,73997,37612433492b02b8dfb1d5ce584f10b1aa174dd,ASCII Art,,CODE,100,50.0,4.431759423050755,7349
7,2,86965,False,2014-07-23 08:19:26.000000000,"La binaire c'est bien ! Mais le unaire c'est mieux !<br>
<br>
Mettez vos compétences d'encodeur à l'épreuve dans ce défi où il vous faudra transformer des messages en «&nbsp;unaire&nbsp;» (0 00 000 0...).<br>
<br>
<u>Algo</u> : encodage/décodage.",/training/easy/chuck-norris,2,,2018-08-13 15:54:40.916999936,easy,,,63310,3761504deb84534c75a88ff4325125ce6109a7f,Chuck Norris,,CODE,100,50.0,4.261622607110301,5485
8,2,63486,False,2014-07-23 08:20:14.000000000,"Retour aux sources dans ce défi où vous devrez associer des noms de fichiers et leur type MIME.<br>
<br>
<u>Algo</u> :  maps, découpage de chaînes.",/training/easy/mime-type,2,,2016-03-03 15:00:18.127000064,easy,,,52660,3772275b8d5e5d57a88bf1a7c5bd34dec083907,MIME Type,,CODE,100,50.0,4.223708068902992,4412
9,2,56235,False,2014-07-23 08:21:00.000000000,"Vous voulez sauver des vies ? Alors aidez-nous à trouver le défibrillateur le plus proche d'une position donnée dans la ville de Montpellier !<br>
<br>
<u>Algo</u> : Calcul de distances, Big data.",/training/easy/defibrillators,2,,2018-08-13 15:23:07.871000064,easy,,,48009,37719850ccd814b6e63345d1bb3282f7e19c8d6,Défibrillateurs,,CODE,100,50.0,4.256045873846921,4011
10,3,77188,False,2014-07-23 08:21:52.000000000,"Pour rendre une course entre deux chevaux intéressante, il vous faudra trouver les chevaux ayant les niveaux les plus proches.<br>
<br>
<u>Algo</u> : tri, recherche de minimum.",/training/easy/horse-racing-duals,3,,2016-03-03 15:00:18.127000064,easy,,,60094,3773955b67125e027fb902e98438ef93689e7ef,Chevaux de course,,CODE,100,75.0,4.269029850746269,5360
11,2,18763,False,2014-07-23 08:23:21.000000000,"Indiana est bloqué dans un tunnel, aidez-le à s'échapper !<br>
<br>
Dans ce premier niveau, vous devez juste vous familiariser avec le fonctionnement du tunnel : votre objectif est de prédire les déplacements d'Indiana dans ce tunnel.<br>
<br>
<u>Algo</u> : maps.<br>
<br>

<i>Ce défi fait partie d'une série de deux exercices proposé lors du challenge «&nbsp;The Last Crusade&nbsp;». Une fois résolu, dirigez-vous vers le niveau 2 où les choses vont largement se compliquer !</i>",/training/medium/the-last-crusade-episode-1,2,,2016-03-03 15:00:18.127000064,medium,,,15087,3841598df96356220249bd183571e7322f49b50,The Last Crusade - Episode 1,,SOLO,100,100.0,4.407281964436918,1181
12,3,30302,False,2014-07-23 08:24:27.000000000,"Votre vaisseau d'exploration de Mars vous emmène au dessus d'une zone rocheuse particulièrement difficile. Il vous faudra revoir et améliorer votre technique d'approche pour vous poser en douceur et sûrement sur le sol martien !<br>
<br>
<u>Algo</u> : Asservissement en rotation, position, vitesse.<br>
<br>
<i>Ce défi moyen est le deuxième d'une série de trois exercices proposés lors du challenge «&nbsp;Mars Lander&nbsp;». Une fois résolu allez vous confronter au troisième défi «&nbsp;Mars&nbsp;Lander - Level 3&nbsp;»sur le même thème mais avec une difficulté accrue !</i>",/training/medium/mars-lander-episode-2,3,,2019-07-26 15:36:14.856000000,medium,,,8803,37744321ad44053ee082d12a59b5ede72863a43,Mars Lander - Episode 2,,SOLO,100,150.0,4.62628145386766,1073
