achievementCount,attemptCount,chatRoom,codinGamer,communityCreation,contributor,coverBinaryId,creationTime,description,detailsPageUrl,doneAchievementCount,feedback,forumLink,globalTotal,id,lastActivity,league,level,logoBinaryId,mode,openChallenge,optimCriteria,optimCriteriaId,optimPoints,position,prettyId,previewBinaryId,puzzleLeaderboardId,rank,replayIds,score,solvedCount,testSessionHandle,thumbnailBinaryId,title,topics,total,type,validatorScore,xpPoints
3,55858,skynet_revolution_episode_1,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,5691254201797.0,1405517118000,"Le virus de la résistance se propage à travers le réseau Skynet. Mais Skynet se défend ! Empêchez Skynet de détruire le virus en coupant les bons liens du réseau...<br>
<br>
<u>Algo</u> : recherche dans un graphe.<br>
<br>
<i>Ce défi facile est le premier d'une série de deux exercices proposés lors du challenge «&nbsp;Skynet - Le Final&nbsp;». Une fois résolu allez vous confronter au deuxième défi «&nbsp;Skynet&nbsp;contre-attaque&nbsp;»sur le même thème mais avec une difficulté accrue !</i>",/training/medium/skynet-revolution-episode-1,3,"{'feedbackId': 68, 'feedbacks': [16, 13, 90, 555, 2443]}",skynet-revolution-episode-1-puzzle-discussion/28,,1,1564155262688.0,,medium,4768015265516.0,,,,,,,skynet-revolution-episode-1,1510746530375.0,,1,"[25243033, 25126259, 24941039, 25242342]",,31762,37819577b3990cd63492da5e8688b35cfa3b7f5,1510730261669.0,Skynet Revolution - Episode 1,"[{'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'BFS', 'value': 'Parcours en largeur', 'children': []}]}, {'handle': 'data-structures', 'value': 'Structures de Données', 'children': [{'handle': 'graphs', 'value': 'Graphes', 'children': []}]}]",,SOLO,100,150.0
2,378850,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,5690532126778.0,1406103201000,"Le marteau de Thor, <i>Mjöllnir</i> a perdu tout pouvoir... Saurez-vous guider Thor vers l'éclair de puissance afin de redonner sa force au marteau&nbsp;?<br>
<br>
<u>Algo</u> : vérification de conditions (if...).<br>
<br>
<i>Ce défi facile est le premier d'une série de deux exercices proposés lors du challenge «&nbsp;Ragnarök&nbsp;». Une fois la marteau réactivé vous pourrez tenter d'affronter les géants dans le deuxième défi, plus difficile : «&nbsp;Thor contre les géants&nbsp;» !</i>",/training/easy/power-of-thor-episode-1,2,"{'feedbackId': 39, 'feedbacks': [260, 238, 1561, 5468, 11049]}",power-of-thor-episode-1-puzzle-discussion/30,,4,1564260437038.0,,easy,4768033772660.0,,,,,,,power-of-thor-episode-1,1510801485212.0,,2,"[85827672, 52385303, 48498880, 52854018]",,238242,37542667842fae110bd7bc244b4eebc7927c25c,1510795002828.0,Power of Thor - Episode 1,"[{'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'conditions', 'value': 'Conditions', 'children': []}]}]",,SOLO,100,50.0
2,195913,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,4768860147383.0,1406103264000,Il fait froid ! Saurez-vous trouver la température la plus proche de zéro dans un relevé de températures ?,/training/easy/temperatures,2,"{'feedbackId': 118, 'feedbacks': [330, 339, 1780, 4357, 6703]}",temperatures-puzzle-discussion/33,,5,1500109015223.0,,easy,4768052124338.0,,,,,,,temperatures,1524004825911.0,,4,,,140338,3760408937c17934059ee020ae0f137f92a4ba9,1523986601161.0,Températures,"[{'handle': 'data-structures', 'value': 'Structures de Données', 'children': [{'handle': 'arrays', 'value': 'Tableaux', 'children': []}]}, {'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'loops', 'value': 'Boucles', 'children': []}, {'handle': 'conditions', 'value': 'Conditions', 'children': []}]}]",,CODE,100,50.0
2,112363,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,5690571260673.0,1406103414000,"Vous-vous sentez un âme d'artiste ? Mais vous êtes informaticien :( Alors pourquoi ne pas essayer l'...
<pre>
   __    ___   ___  ____  ____      __    ____  ____ 
  /__\  / __) / __)(_  _)(_  _)    /__\  (  _ \(_  _)
 /(__)\ \__ \( (__  _)(_  _)(_    /(__)\  )   /  )(  
(__)(__)(___/ \___)(____)(____)  (__)(__)(_)\_) (__) 
</pre><br>
Dans ce défi, transformez des chaînes de caractères en ASCII ART.<br>
<br>
<u>Algo</u> : stockage et parcours de tableau.",/training/easy/ascii-art,2,"{'feedbackId': 119, 'feedbacks': [170, 138, 570, 2055, 4658]}",ascii-art-puzzle-discussion/34,,6,1505641293337.0,,easy,4768048743789.0,,,,,,,ascii-art,12070893391059.0,,6,,,75197,37612433492b02b8dfb1d5ce584f10b1aa174dd,1520565163109.0,ASCII Art,"[{'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'strings', 'value': 'Chaînes de caractères', 'children': []}]}, {'handle': 'data-structures', 'value': 'Structures de Données', 'children': [{'handle': 'arrays', 'value': 'Tableaux', 'children': []}]}, {'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'loops', 'value': 'Boucles', 'children': []}]}]",,CODE,100,50.0
2,88296,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,5690588778503.0,1406103566000,"La binaire c'est bien ! Mais le unaire c'est mieux !<br>
<br>
Mettez vos compétences d'encodeur à l'épreuve dans ce défi où il vous faudra transformer des messages en «&nbsp;unaire&nbsp;» (0 00 000 0...).<br>
<br>
<u>Algo</u> : encodage/décodage.",/training/easy/chuck-norris,2,"{'feedbackId': 69, 'feedbacks': [133, 217, 641, 1717, 2954]}",chuck-norris-puzzle-discussion/35,,7,1534175680917.0,,easy,4768086737650.0,,,,,,,chuck-norris,1523857395161.0,,7,,,64256,3761504deb84534c75a88ff4325125ce6109a7f,1516732272708.0,Chuck Norris,"[{'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'strings', 'value': 'Chaînes de caractères', 'children': []}, {'handle': 'encoding', 'value': 'Encodage', 'children': []}]}, {'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'loops', 'value': 'Boucles', 'children': []}, {'handle': 'conditions', 'value': 'Conditions', 'children': []}]}]",,CODE,100,50.0
2,64411,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,5690595999667.0,1406103614000,"Retour aux sources dans ce défi où vous devrez associer des noms de fichiers et leur type MIME.<br>
<br>
<u>Algo</u> :  maps, découpage de chaînes.",/training/easy/mime-type,2,"{'feedbackId': 130, 'feedbacks': [85, 109, 664, 1526, 2153]}",mime-type-puzzle-discussion/36,,8,1457017218127.0,,easy,4768063404583.0,,,,,,,mime-type,12070882520898.0,,8,,,53417,3772275b8d5e5d57a88bf1a7c5bd34dec083907,1520584049251.0,MIME Type,"[{'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'strings', 'value': 'Chaînes de caractères', 'children': []}]}, {'handle': 'data-structures', 'value': 'Structures de Données', 'children': [{'handle': 'hash-tables', 'value': 'Tables de hachage', 'children': []}]}, {'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'loops', 'value': 'Boucles', 'children': []}, {'handle': 'conditions', 'value': 'Conditions', 'children': []}]}]",,CODE,100,50.0
2,56945,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,5690606223417.0,1406103660000,"Vous voulez sauver des vies ? Alors aidez-nous à trouver le défibrillateur le plus proche d'une position donnée dans la ville de Montpellier !<br>
<br>
<u>Algo</u> : Calcul de distances, Big data.",/training/easy/defibrillators,2,"{'feedbackId': 62, 'feedbacks': [86, 114, 519, 1329, 2067]}",defribillators-puzzle-discussion/37,,9,1534173787871.0,,easy,4768070361320.0,,,,,,,defibrillators,1520981487226.0,,9,,,48619,37719850ccd814b6e63345d1bb3282f7e19c8d6,1520603000702.0,Défibrillateurs,"[{'handle': 'maths-physics', 'value': 'Maths / Physique', 'children': [{'handle': 'trigonometry', 'value': 'Trigonométrie', 'children': []}, {'handle': 'distance', 'value': 'Distances', 'children': []}]}, {'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'loops', 'value': 'Boucles', 'children': []}]}]",,CODE,100,50.0
3,78331,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,5690617860395.0,1406103712000,"Pour rendre une course entre deux chevaux intéressante, il vous faudra trouver les chevaux ayant les niveaux les plus proches.<br>
<br>
<u>Algo</u> : tri, recherche de minimum.",/training/easy/horse-racing-duals,3,"{'feedbackId': 131, 'feedbacks': [71, 126, 741, 1885, 2685]}",horse-racing-duals-puzzle-discussion/38,,10,1457017218127.0,,easy,4768109556511.0,,,,,,,horse-racing-duals,12070858038134.0,,10,,,60982,3773955b67125e027fb902e98438ef93689e7ef,1520627695824.0,Chevaux de course,"[{'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'loops', 'value': 'Boucles', 'children': []}]}]",,CODE,100,75.0
2,18934,last_crusade_episode_1,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,5691263520888.0,1406103801000,"Indiana est bloqué dans un tunnel, aidez-le à s'échapper !<br>
<br>
Dans ce premier niveau, vous devez juste vous familiariser avec le fonctionnement du tunnel : votre objectif est de prédire les déplacements d'Indiana dans ce tunnel.<br>
<br>
<u>Algo</u> : maps.<br>
<br>

<i>Ce défi fait partie d'une série de deux exercices proposé lors du challenge «&nbsp;The Last Crusade&nbsp;». Une fois résolu, dirigez-vous vers le niveau 2 où les choses vont largement se compliquer !</i>",/training/medium/the-last-crusade-episode-1,2,"{'feedbackId': 132, 'feedbacks': [5, 16, 134, 378, 677]}",the-last-crusade-episode-1-puzzle-discussion/39,,11,1457017218127.0,,medium,4768148369455.0,,,,,,,the-last-crusade-episode-1,1510824334521.0,,2,"[25220900, 25220902, 25220903, 25220904, 25220905]",,15225,3841598df96356220249bd183571e7322f49b50,1510811311123.0,The Last Crusade - Episode 1,"[{'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'conditions', 'value': 'Conditions', 'children': []}]}]",,SOLO,100,100.0
3,30809,mars_lander,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,4768916654779.0,1406103867000,"Votre vaisseau d'exploration de Mars vous emmène au dessus d'une zone rocheuse particulièrement difficile. Il vous faudra revoir et améliorer votre technique d'approche pour vous poser en douceur et sûrement sur le sol martien !<br>
<br>
<u>Algo</u> : Asservissement en rotation, position, vitesse.<br>
<br>
<i>Ce défi moyen est le deuxième d'une série de trois exercices proposés lors du challenge «&nbsp;Mars Lander&nbsp;». Une fois résolu allez vous confronter au troisième défi «&nbsp;Mars&nbsp;Lander - Level 3&nbsp;»sur le même thème mais avec une difficulté accrue !</i>",/training/medium/mars-lander-episode-2,3,"{'feedbackId': 133, 'feedbacks': [27, 24, 32, 167, 865]}",mars-lander-puzzle-discussion/32,,12,1564155374856.0,,medium,4768125942910.0,,,,,,,mars-lander-episode-2,1510868411675.0,,1,"[24972049, 24972052]",,8937,37744321ad44053ee082d12a59b5ede72863a43,1510856807593.0,Mars Lander - Episode 2,"[{'handle': 'maths-physics', 'value': 'Maths / Physique', 'children': [{'handle': 'trigonometry', 'value': 'Trigonométrie', 'children': []}, {'handle': 'distance', 'value': 'Distances', 'children': []}]}]",,SOLO,100,150.0
